timestamp,pipe_roll.position,pipe_roll.velocity,drive_shaft.position,drive_shaft.velocity,shell_yaw.position,shell_yaw.velocity,pitch_joint.position,pitch_joint.velocity,roll_joint.position,roll_joint.velocity
8088445765248,0.0177445949099581,-0.000603165485189906,263.880931551386,0,-2.75183497320665,0.000769284997258975,-0.0522011662511352,0.00058918233071858,0.0422710266779331,-0.00022212317375034
8088456058048,0.0177256022279261,-0.000517183240851389,263.880931551386,0,-2.75183631174152,0.000289665739637913,-0.0522076970829019,0.000321273768116348,0.0422688352266503,-0.00031463812165498
8088464226720,0.0177139346489606,-0.000325557303775203,263.880931551386,0,-2.7518429854337,-0.000344228370651032,-0.0521928843294775,-0.000113015734332694,0.0422709593837014,-0.000220312816913139
8088474593376,0.0177047337493484,-0.000476244306085128,263.880931551386,0,-2.75184551698439,-0.000110016992512165,-0.0521795870772977,0.000122354899143438,0.0422685104588367,-0.000345754390629624
8088484574976,0.0177047337493484,-0.000543019333795628,263.880931551386,0,-2.75184551698439,-6.22920042927002E-06,-0.0521795870772977,0.00022665640047851,0.0422703215514188,-0.000222273141425667
8088493691936,0.0177182772457684,6.53954812169686E-05,263.880931551386,0,-2.75184303801146,3.73519609746871E-05,-0.0521779750669486,0.000139116125704839,0.0422642504413899,-0.000475522550280065
8088506268160,0.0177115142858987,0.000323341266527381,263.880931551386,0,-2.75184398495561,6.73818873768128E-05,-0.0521787589212151,-0.000237608519489255,0.0422616376697003,-0.000537277796919681
8088515029088,0.0177082862121834,-0.000163760535912818,263.880931551386,0,-2.75184390913591,0.000132777733454586,-0.0521737150496614,0.000205048540302008,0.0422655934001867,-0.000315080711519196
8088523441728,0.0177082862121834,-0.000379613501710629,263.880931551386,0,-2.75184390913591,0.000161757070537777,-0.0521737150496614,0.000401206383916256,0.0422695666856899,-0.000127978967980569
8088535451040,0.0176947465429297,7.32419711894109E-05,263.880931551386,0,-2.75184637928545,0.000445148167003693,-0.0521562980642098,9.47750637228914E-05,0.0422657630986839,-0.000331313607684479
8088544864224,0.0176943360618328,0.000436069814892696,263.880931551386,0,-2.7518387755808,0.00067909676720146,-0.0521612131697134,1.89266650878895E-05,0.0422935439130091,0.000932554400348246
8088555092768,0.0176954213114011,0.000254960606414201,263.880931551386,0,-2.75183827081595,0.000378914758545774,-0.0521661688322641,0.00046224921292212,0.0422799007390019,0.000291940737646403
8088565368096,0.017709187352795,0.000550802048968546,263.880931551386,0,-2.7518354940749,0.000673424239808641,-0.0521645048229321,0.000245901648387524,0.0422666876629099,-0.000420904549506815
8088575357600,0.0176919674228487,5.51111099914245E-05,263.880931551386,0,-2.75183601586304,0.000593624005912242,-0.0521542170787934,0.000641612475254085,0.0422702747380403,-0.000190315747414789
8088584694400,0.0176919674228487,-0.000164548022373312,263.880931551386,0,-2.75183601586304,0.000558261547650734,-0.0521542170787934,0.000816966693098388,0.0422717435077919,-9.79909788604532E-05
8088594501056,0.0176805792659999,-0.000174389639268061,263.880931551386,0,-2.75183343672735,0.000784928944705025,-0.0521474841740572,0.000493154568804681,0.0422681856910231,-0.000341446142602372
8088605529632,0.0176764614639035,-0.000335312413453214,263.880931551386,0,-2.75183453951217,0.000146258055763892,-0.052137975087862,0.000292779395393463,0.0422753949513177,-1.95090784349958E-05
8088614655648,0.0176847052710147,-0.000343389933728387,263.880931551386,0,-2.75184164340449,5.28160368959092E-06,-0.0521388031798465,-9.90009103736333E-06,0.0422643938073617,-0.000566152188225407
8088624687776,0.0176847052710147,-0.000346969384058797,263.880931551386,0,-2.75184164340449,-5.71903172424336E-05,-0.0521388031798465,-0.000144028654111759,0.0422644611015933,-0.000587015228683356
8088637758048,0.0176777263342483,-0.000300455578209027,263.880931551386,0,-2.75183956357296,-7.14473485122845E-05,-0.052144075355746,-0.00035158336237836,0.0422718780962552,-0.000222788858621644
8088645284864,0.0176736034220197,-0.000370441383104225,263.880931551386,0,-2.75183752215505,-4.75524737379553E-05,-0.0521356954749331,0.000506734819482279,0.0422672816076501,-0.000447524161177633
8088657730240,0.0176783261104463,0.000284462145970443,263.880931551386,0,-2.7518439677448,0.000288395885188693,-0.0521367477632379,0.0002054671367632,0.042266743253797,-0.000419032002936306
8088666781312,0.0176944100026805,9.41583367262063E-05,263.880931551386,0,-2.75183220422159,0.000416328932022088,-0.052128919371297,0.000270031581665386,0.0422669743948535,-0.000460127189001472
8088681638528,0.0176987388854649,-4.46948188848856E-05,263.880931551386,0,-2.75182900674428,0.00052100084896262,-0.0521353094679575,-0.00021361146907143,0.0422631356978135,-0.000683417872811863
8088683873920,0.0176987388854649,-0.000106225828006369,263.880931551386,0,-2.75182900674428,0.000567384877094254,-0.0521353094679575,-0.000427931733061542,0.0422719775746846,-0.000224564474011723
8088693903872,0.017691202702157,0.000189656128925399,263.880931551386,0,-2.75182893628507,-0.000288042362625784,-0.0521350304877938,9.55277252267763E-05,0.0422688410783226,-0.000340511692250193
8088704662080,0.0176936533521182,-0.000331757445889951,263.880931551386,0,-2.75182929233334,-0.000426367081871637,-0.0521444615480066,5.00922487279099E-05,0.0422710237520969,-0.000233705882645228
8088714940448,0.017689456455129,-0.000453675099389235,263.880931551386,0,-2.7518211888665,-5.79017585867283E-05,-0.0521516015573643,0.000197126008851785,0.0422718546895659,-0.000190549782877591
8088725301952,0.017692034357028,-0.000336703629886999,263.880931551386,0,-2.75182853394202,-0.000298410426053624,-0.0521550899733986,-0.000213236908274757,0.042276969051171,4.4875810329056E-05
