timestamp,ball_roll.position,ball_roll.velocity,drive_shaft.position,drive_shaft.velocity,ball_yaw.position,ball_yaw.velocity,pitch_joint.position,pitch_joint.velocity,roll_joint.position,roll_joint.velocity
1765208426656,-0.007566967715459155,-0.0008840413018531847,13.083510691681811,0.0,2.901798297441815,-0.001136999714044567,-0.07591519083429686,-6.08594889503085e-05,-0.021381355259269295,-0.0007573009274805069
1765208753216,-0.007556931873769749,-0.00040261472011247554,13.083510691681811,0.0,2.901800880254202,-0.0007006827559536545,-0.07591588564480974,-0.00041063368833466274,-0.02138247878035417,-0.0007620938128377059
1765208906848,-0.007556358465787858,2.7188556429231424e-05,13.083510691681811,0.0,2.901802803833303,-0.0007127789062837686,-0.07591381289041624,4.817483292644478e-05,-0.021379857231156124,-0.0006151674584795842
1765210221472,-0.007539449533440385,-4.9965337403748685e-05,13.083510691681811,0.0,2.9018071863476664,-0.001193517368383927,-0.07589022872895265,0.0007580009881404788,-0.021380606245212708,-0.0006480227641778017
1765210341824,-0.007540664628632122,-0.000647893939703432,13.083510691681811,0.0,2.901811392939447,-0.0005299129766027989,-0.07588432063748789,0.00063177974391218,-0.021377610188986367,-0.0005363783423109294
1765210445216,-0.007540664628632122,-0.0008804789158322654,13.083510691681811,0.0,2.901811392939447,-0.00027178113439324227,-0.07588432063748789,0.0005826816325944066,-0.021378359203042954,-0.0006102209552950146
1765210561344,-0.007551444573020812,-0.0007536278746458956,13.083510691681811,0.0,2.9018041772600744,-0.00043788304124372515,-0.0758841590943074,0.00042289244702126594,-0.02138247878035417,-0.0007315681870371501
1765211008960,-0.007545037486316192,-0.0006664688484356016,13.083510691681811,0.0,2.9018024751142604,-0.0009917418152324481,-0.07587395968686383,0.0005550322022954197,-0.02138397680846734,-0.000768746421374126
1765211143840,-0.0075423326475164195,0.0006093795781327487,13.083510691681811,0.0,2.901802582391367,-0.0007959136742768495,-0.0758685249330657,0.0005531293750819935,-0.021385474836580508,-0.0007776245054676784
1765211500416,-0.007533731924203672,5.4519379667619986e-05,13.083510691681811,0.0,2.9018058936342412,-0.000858471100859837,-0.07588199162845362,0.00015691915827421868,-0.021385100329552216,-0.000755391805100754
1765217473632,-0.007533731924203672,-0.00016131265365292415,13.083510691681811,0.0,2.9018058936342412,-0.0008828049720152312,-0.07588199162845362,2.7995134473785045e-06,-0.021381355259269295,-0.000560035544871231
1765227320032,-0.007532055199718224,-0.0006111826758871832,13.083510691681811,0.0,2.901803788674303,-0.0010170514200454651,-0.07588415393119771,6.608699321628507e-05,-0.021384725822523924,-0.0007563902438325919
1765242388448,-0.007517464490452133,1.335516677908506e-06,13.083510691681811,0.0,2.9018086719173857,-0.00041251649278601645,-0.07588583915184183,0.0002708352520425286,-0.021385100329552216,-0.0007230412032826216
1765250529216,-0.007521101907116281,8.159189861098848e-05,13.083510691681811,0.0,2.901809218139437,-0.0003161222036874063,-0.0758807468388339,8.7779546677097e-05,-0.021382478780354174,-0.0005586000707922593
1765257372544,-0.007517378402855267,0.00029525741616164594,13.083510691681811,0.0,2.901801128161995,-0.0008554696314536138,-0.07587774338140095,-0.00026337516296796014,-0.021382853287382462,-0.0005985615039177791
1765269454560,-0.007517378402855267,0.00037836999700815814,13.083510691681811,0.0,2.901801128161995,-0.0010652674369602954,-0.07587774338140095,-0.00039996891253304306,-0.021381729766297583,-0.0005620360853446287
1765277864480,-0.007523244382402975,-7.098694828336035e-05,13.083510691681811,0.0,2.901789064661434,-0.0014669993336957267,-0.07587862511615341,-0.0007865539610298136,-0.02138210427332588,-0.0006485256308385023
1765292465760,-0.007521386715599063,0.00047867036860593413,13.083510691681811,0.0,2.901784657994842,-0.0018981117188325153,-0.07587279968402585,-0.0005085493845056927,-0.02138734737172197,-0.0008603013207174621
1765297789312,-0.007523761930769998,0.0002554227386414255,13.083510691681811,0.0,2.9017744083241106,-0.0017036217625024594,-0.07587525176414982,-0.0008943655611148919,-0.021383227794410757,-0.0006008180664840961
1765310695808,-0.0075314103304548845,-0.00028848328166773283,13.083510691681811,0.0,2.9017737700930732,-0.0011934026600414825,-0.07588143422162384,-0.00047860691805222524,-0.021382853287382462,-0.0005503876344256065
1765320524992,-0.0075314103304548845,-0.0005000543091505927,13.083510691681811,0.0,2.9017737700930732,-0.0009949353224531,-0.07588143422162384,-0.0003168832378332607,-0.02138247878035417,-0.0005658982233610366
1765327378112,-0.007532899650808846,0.00016045805729154454,13.083510691681811,0.0,2.9017724173788286,-0.0008277535778986759,-0.07587573942770134,-0.0006640607256843838,-0.02137948272412783,-0.0003824757145058735
1765341185056,-0.007523306393360949,0.00014235934183840323,13.083510691681811,0.0,2.901781943837904,-0.0005658002462762108,-0.07587904822666074,-0.00024326331194045114,-0.021381355259269295,-0.0005199698988333966
1765347990016,-0.007517346955668768,0.0004627125669362957,13.083510691681811,0.0,2.901774594706308,-0.0008024557653273704,-0.07589100946034198,-0.0003268591204136472,-0.021383602301439045,-0.0006469292393423888
1765357434240,-0.007519753139988592,-0.00039431152982256435,13.083510691681811,0.0,2.9017785440778514,-0.00015762152130680451,-0.07588678176329815,-0.00046995363384082515,-0.021380980752241,-0.0005664614239634595
1765371030176,-0.007519753139988592,-0.0007276806449976052,13.083510691681811,0.0,2.9017785440778514,9.32090238046799e-05,-0.07588678176329815,-0.0005256151858415545,-0.021385474836580508,-0.0008017059771290626
1765377875744,-0.007509213323645985,-0.00010704360806573069,13.083510691681811,0.0,2.9017739145158625,-0.0003661191353977792,-0.07589036650788739,0.0001958130415713912,-0.021383602301439045,-0.0006313839082455224
